country,state,city,is_popular,is_nearby
India,Assam,Nahorkatiya,0,0
India,Assam,Nalbari,0,0
India,Assam,Namrup,0,0
India,Assam,Nazira,0,0
India,Assam,North Guwahati,0,0
India,Assam,North Lakhimpur,0,0
India,Assam,Numaligarh,0,0
India,Assam,Palasbari,0,0
India,Assam,Raha,0,0
India,Assam,Rangapara,0,0
India,Assam,Rangia,0,0
India,Assam,Sapatgram,0,0
India,Assam,Sarupathar,0,0
India,Assam,Sibsagar,0,0
India,Assam,Silapathar,0,0
India,Assam,Silchar,0,0
India,Assam,Soalkuchi,0,0
India,Assam,Sonari,0,0
India,Assam,Sonitpur,0,0
India,Assam,Sorbhog,0,0
India,Assam,Tezpur,0,0
India,Assam,Tinsukia,0,0
India,Assam,Titabar,0,0
India,Assam,Udalguri,0,0
India,Bihar,Amarpur,0,0
India,Bihar,Araria,0,0
India,Bihar,Arrah,0,0
India,Bihar,Arwal,0,0
India,Bihar,Asarganj,0,0
India,Bihar,Aurangabad,0,0
India,Bihar,Bagaha,0,0
India,Bihar,Bahadurganj,0,0
India,Bihar,Bairagnia,0,0
India,Bihar,Baisi,0,0
India,Bihar,Bakhtiyarpur,0,0
India,Bihar,Bangaon,0,0
India,Bihar,Banka,0,0
India,Bihar,Banmankhi,1,0
India,Bihar,Bar Bigha,0,0
India,Bihar,Barauli,0,0
India,Bihar,Barh,0,0
India,Bihar,Barhiya,0,0
India,Bihar,Bariarpur,0,0
India,Bihar,Baruni,0,0
India,Bihar,Begusarai,0,0
India,Bihar,Belsand,0,0
India,Bihar,Bettiah,0,0
India,Bihar,Bhabhua,0,0
India,Bihar,Bhagalpur,0,0
India,Bihar,Bhagirathpur,0,0
India,Bihar,Bhawanipur,0,0
India,Bihar,Bhojpur,0,0
India,Bihar,Bihar Sharif,0,0
India,Bihar,Bihariganj,0,0
India,Bihar,Bikramganj,0,0
India,Bihar,Birpur,0,0
India,Bihar,Buddh Gaya,0,0
India,Bihar,Buxar,0,0
India,Bihar,Chakia,0,0
India,Bihar,Chapra,0,0
India,Bihar,Chhatapur,0,0
India,Bihar,Colgong,0,0
India,Bihar,Dalsingh Sarai,0,0
India,Bihar,Darbhanga,0,0
India,Bihar,Daudnagar,0,0
India,Bihar,Dehri,0,0
India,Bihar,Dhaka,0,0
India,Bihar,Dighwara,0,0
India,Bihar,Dinapore,0,0
India,Bihar,Dumra,0,0
India,Bihar,Dumraon,0,0
India,Bihar,Fatwa,0,0
India,Bihar,Forbesganj,0,0
India,Bihar,Gaya,0,0
India,Bihar,Ghoga,0,0
India,Bihar,Gopalganj,0,0
India,Bihar,Hajipur,0,0
India,Bihar,Hilsa,0,0
India,Bihar,Hisua,0,0
India,Bihar,Islampur,0,0
India,Bihar,Jagdispur,0,0
India,Bihar,Jahanabad,0,0
India,Bihar,Jamalpur,0,0
India,Bihar,Jamui,0,0
India,Bihar,Jaynagar,0,0
India,Bihar,Jehanabad,0,0
India,Bihar,Jha-Jha,0,0
India,Bihar,Jhanjharpur,0,0
India,Bihar,Jogbani,0,0
India,Bihar,Kaimur District,0,0
India,Bihar,Kasba,0,0
India,Bihar,Katihar,0,0
India,Bihar,Khagaria,0,0
India,Bihar,Khagaul,0,0
India,Bihar,Kharagpur,0,0
India,Bihar,Khusropur,0,0
India,Bihar,Kishanganj,0,0
India,Bihar,Koath,0,0
India,Bihar,Koelwar,0,0
India,Bihar,Lakhisarai,0,0
India,Bihar,Lalganj,0,0
India,Bihar,Luckeesarai,0,0
India,Bihar,Madhepura,0,0
India,Bihar,Madhubani,0,1
India,Bihar,Maharajgani,0,0
India,Bihar,Mairwa,0,0
India,Bihar,Maner,0,0
India,Bihar,Manihari,0,0
India,Bihar,Marhaura,0,0
India,Bihar,Masaurhi Buzurg,0,0
India,Bihar,Mohiuddi nagar,0,0
India,Bihar,Mokameh,0,0
India,Bihar,Monghyr,0,0
India,Bihar,Mothihari,0,0
India,Bihar,Munger,0,0
India,Bihar,Murliganj,0,0
India,Bihar,Muzaffarpur,0,0
India,Bihar,Nabinagar,0,0
India,Bihar,Nalanda,0,0
India,Bihar,Nasriganj,0,0
India,Bihar,Naugachhia,0,0
India,Bihar,Nawada,0,0
India,Bihar,Nirmali,0,0
India,Bihar,Pashchim Champaran,0,0
India,Bihar,Patna,1,0
India,Bihar,Piro,0,0
India,Bihar,Pupri,0,0
India,Bihar,Purba Champaran,0,1
India,Bihar,Purnia,0,0
India,Bihar,Rafiganj,0,0
India,Bihar,Raghunathpur,0,0
India,Bihar,Rajgir,0,0
India,Bihar,Ramnagar,0,0
India,Bihar,Raxaul,0,0
India,Bihar,Revelganj,0,0
India,Bihar,Rohtas,0,0
India,Bihar,Rusera,0,0
India,Bihar,Sagauli,0,0
India,Bihar,Saharsa,0,0
India,Bihar,Samastipur,0,0
India,Bihar,Saran,0,0
India,Bihar,Shahbazpur,0,0
India,Bihar,Shahpur,0,0
